time,vxt_p0,vyt_p0,vzt_p0,vxt_p1,vyt_p1,vzt_p1,vxt_p2,vyt_p2,vzt_p2,vxt_p3,vyt_p3,vzt_p3,vxt_p4,vyt_p4,vzt_p4,vxt_p5,vyt_p5,vzt_p5
0.0,-9.219984558877778,1.5113305768734,-0.6755637372611909,-9.489102061437402,-1.1843441303349231,0.03503430447585443,-11.596862362714214,2.3504691617949476,-0.8735579178128556,-9.968503161933896,-1.2481637862437536,-1.2646908010017361,-9.845740635327733,-0.3898553210213434,0.4815142190560073,-10.330252206623372,1.3018576473904893,-0.004726228900681029
0.25,-10.64223973646024,0.696465043711118,0.26240855540577923,-9.392484819924473,-1.5766741856789683,-1.1115047638402669,-11.79652589048944,2.460767097143334,-0.6930814752612335,-10.524746039370015,-1.4053017403999728,-0.5788030635315329,-10.334445243394985,0.39674271678951367,1.0789978667900264,-10.150318333534827,1.682876711818779,-0.16319675855386098
0.5,-11.163950041095157,0.5516829533434633,0.5289539610489229,-8.582132911163791,-0.8290993247432334,-0.5460250918044116,-13.17214436723581,2.0214889932499416,-0.3622810103659123,-10.813922159434757,-2.738326682134813,0.17207676993555454,-10.714753642480325,1.0800547429248637,0.2948163907060921,-10.273619197840377,1.104253943016084,-0.49937844692853406
0.75,-10.09795136818914,2.1436609756308087,0.70739279738068,-9.013221447126588,-0.08758805845309103,-0.766749878203009,-13.568044171975373,1.6358459626496664,-0.8308861621765365,-10.54905304368909,-2.8784391423352655,-0.4662749369293614,-10.472925976998328,1.1897830172663546,0.10519690963619066,-10.51127320359483,1.15298745930748,-1.0845251971157994
1.0,-10.431052217061277,1.8868330717332011,0.21319947604642886,-9.339050177130309,-0.6809177842813563,-0.25367167568137894,-12.369657103148128,1.565526868643109,-0.28320740562327096,-10.688219184745334,-1.8753771753385209,-0.7620091874387553,-10.22390275670589,0.034764464998794486,-0.01889795758870838,-11.237257653894368,0.8853142666133589,-1.0553590707024632
1.25,-9.318972666118205,2.262987686534236,-0.45162246852243626,-8.936760770856804,0.4481320209251271,-0.6241755427662781,-12.639102683558397,2.0459608070284814,-0.34728960497659545,-10.36374763108145,-1.534175131075935,0.23781701171941574,-9.316239353315169,0.2797657965201743,0.26505442904384746,-12.003521932932241,1.7846678794227717,0.5184263496230812
1.5,-9.203455791364807,3.40427786709893,0.4670819483989756,-9.350795501024352,1.3172646000607888,-1.8036831270234168,-12.507951679143229,2.0215454494626672,0.8153385431748152,-10.495197663953991,-0.7134643000529683,-0.2799161516170403,-9.239509776671254,0.7547270418709142,0.8031043756895978,-11.860986861602216,0.7409135063495581,1.1947342680208366
1.75,-9.512625023530386,1.37521268766403,0.8546831704892563,-10.712909466023996,2.2900283244182784,-1.63134406607767,-12.313083327411247,2.1231689244655936,1.0118203958775323,-10.874413879292625,-1.4262730650914186,-0.9010971455975288,-8.91598666148021,1.4503253165435988,0.6962069007416624,-11.64621957945475,0.6462895316599137,0.5516030664089479
2.0,-9.784353332248607,0.13578895736697794,-1.2962733394414148,-10.481056267499875,2.0653193790854774,-1.952949212816173,-11.300322835080902,1.1788969072473474,1.1551145272517955,-10.155892323901659,-1.8898737937130239,-1.0023230299310548,-8.298788820124097,1.6737712860794405,0.9628512092111973,-12.36188509883113,1.3914011818927956,0.6054345564981916
2.25,-10.358080841520295,0.1885618470169438,-0.7529266509447301,-10.068462337695543,1.6131355443486781,-2.003102576424566,-11.71826284555954,-0.03302424191523029,-0.10473006622970142,-10.401745016539458,-1.89910071636743,-0.8391196077152552,-7.587885324987557,1.9061472088700626,0.17136459317373448,-12.185372637293582,0.7246732420138007,0.4200554161676711
2.5,-9.603622741421832,1.34834966300631,-0.3421339880231864,-9.789328460626631,1.31259915812243,-1.4829256521495187,-13.105755821722333,-0.10964826526622284,-0.19725144736777225,-10.662430404567555,-1.986595551812756,-1.0373307755428363,-8.6603877332958,1.0142948193576793,0.6024506740408679,-12.590126848835949,0.8010393734479877,1.282697942756264
2.75,-9.705623965880488,0.1972106142298531,-0.7527280159556656,-9.468271606135879,1.4370176333651894,-0.7274484328277707,-13.98118634263577,-0.3086596410174115,-0.11700648171202901,-10.760306518919464,-2.1395296852678594,-1.0985626318399262,-9.568600825805676,0.4309596443213918,0.6186133810848485,-13.896499861459102,0.8245402559010092,1.006755941587906
3.0,-9.053928465453081,-1.483305050156846,-0.8631130512954241,-10.54002535477522,0.705005322506012,-0.9795591785184556,-13.150368759044671,-0.6898009921513095,-0.30186684643185824,-11.441042015328955,-2.8309308995131057,-0.8547290182439957,-9.65487618488257,1.3079945771014696,0.45331631263653427,-13.453832675951116,0.6208151707032203,-0.40612575990338967
3.25,-9.374080945899914,-1.8945175137549568,-0.7783927052659613,-11.129430677702649,1.1252479111362481,-2.0211730767632003,-13.033506949452672,-1.2459144902872887,0.3613015049418954,-11.20917084190024,-1.6603938137519647,-1.4177052989894252,-10.25802128751826,1.9375204162792008,-0.4431733461221212,-12.716386424346386,0.4700424378369193,0.2975502879487133
